aijh,7,1,3,8,7,2
ahee,6,6,7,5,6,4
ajch,8,2,7,7,9,8
accd,3,4,9,8,5,1
aijc,2,8,4,7,6,9
agja,5,6,1,1,3,3
aagd,9,2,4,3,4,5
aefg,9,8,7,6,8,9
abab,6,2,6,1,5,5
aigg,2,2,2,2,5,5
aahb,6,8,7,3,3,1
aedf,1,4,3,1,1,4
acbd,2,3,4,9,6,4
aiaf,1,2,6,2,2,1
aeej,7,7,8,3,4,7
aihe,4,3,9,2,1,2
aicf,8,8,5,8,4,2
aefc,7,6,1,8,8,2
abcg,5,1,7,6,1,3
afhh,7,2,2,2,4,3
aded,5,5,8,2,7,2
agfb,8,7,3,2,4,5
acea,6,7,1,6,6,4
adhi,4,3,1,4,8,5
abba,1,4,5,6,6,1
abec,8,5,7,8,3,1
ahgi,3,6,2,9,7,5
afjf,4,3,9,8,2,4
ahej,5,1,8,8,2,7
acgd,3,4,1,7,6,2
ahag,3,4,2,6,8,8
aaii,8,3,7,6,8,4
aejg,6,9,7,4,1,4
afed,9,9,8,4,8,9
abga,3,5,6,2,5,5
afej,2,3,5,8,6,4
adaf,1,1,4,6,7,7
ahjb,8,7,7,8,9,8
agbf,7,6,5,2,6,6
ahhe,5,3,7,6,5,1
adeb,8,5,1,8,3,1
ahha,8,7,3,2,2,5
adcf,4,2,7,9,7,4
adee,7,7,1,2,2,3
agag,8,3,6,2,1,5
aejh,4,8,9,6,8,7
abbh,8,4,8,4,2,5
aiga,1,1,6,9,8,7
aagg,1,5,8,7,6,2
abgd,8,4,5,1,4,6
acha,9,2,1,2,6,7
aaeg,9,4,4,4,1,5
acfh,2,8,6,2,9,7
adjg,4,8,3,1,6,1
ahih,8,7,7,6,7,5
agai,6,1,1,2,9,7
aahi,3,4,9,5,6,1
afij,8,6,5,2,4,7
abhj,6,5,2,9,4,7
ahhf,1,2,3,5,6,2
acbb,3,1,7,8,8,8
acfj,5,4,7,2,3,4
abdj,9,9,7,2,8,7
ajcc,7,8,3,8,7,5
ajbg,7,4,7,3,8,7
afjg,8,4,7,5,7,5
ajgf,8,2,1,5,1,7
aegf,2,3,3,5,1,4
aiid,2,4,8,1,7,8
aijb,6,5,9,6,6,7
ajia,6,7,1,5,2,5
ahaa,9,7,5,9,9,1
aige,5,1,9,9,8,2
aeia,2,3,2,4,5,7
ahab,9,2,5,1,9,9
aghg,2,8,3,6,3,3
ahbe,1,1,3,5,9,9
