aiid,4,5,4,1,1,5
aedg,6,2,4,4,4,2
afjj,5,7,6,7,8,7
aagf,1,5,8,5,1,2
acge,5,4,4,6,1,5
aeba,4,6,6,2,5,6
aghh,1,3,7,6,8,3
ahia,7,7,7,4,3,5
agbb,5,5,6,9,3,9
adhh,8,2,3,3,6,5
agef,1,4,4,5,8,6
ajcj,3,1,9,2,4,5
aich,1,7,4,7,8,2
abfa,8,7,1,9,4,4
aedb,3,8,4,8,5,1
acbc,3,5,1,6,1,9
acfi,6,6,4,3,1,2
affe,5,8,8,8,3,6
abjh,5,5,4,4,2,2
aeda,8,7,3,3,7,3
aeii,2,9,3,9,1,9
acja,2,4,5,3,7,3
aeec,6,1,6,4,1,2
ajjj,8,1,4,2,8,3
aeci,7,3,6,3,4,7
aehj,2,2,5,8,1,8
acgd,5,6,3,2,6,6
agbg,6,6,1,5,9,9
ajjf,5,7,1,7,9,3
ajie,3,3,1,8,1,6
afia,6,9,2,3,2,2
ajhf,7,1,7,8,6,5
aeie,5,2,7,5,4,8
acab,5,9,4,6,2,3
agai,3,3,6,5,2,7
aaie,2,8,5,8,6,1
acbj,8,8,3,4,6,2
aiab,5,7,9,8,8,2
acid,2,1,3,5,3,8
aebj,3,2,4,9,7,6
abia,4,1,2,7,3,4
aicc,9,9,1,6,8,1
achf,9,6,1,9,1,8
aebc,4,1,8,1,4,7
aeha,6,1,6,1,1,2
adff,7,4,3,1,5,9
adee,6,7,5,5,9,2
aehc,2,8,2,1,4,9
aeeg,7,4,7,9,5,3
aiga,8,8,9,7,4,4
abfi,8,1,5,4,6,1
aadi,4,1,9,6,4,2
ajjd,7,7,1,9,6,4
aihh,9,3,5,1,2,4
ajcg,5,6,4,5,4,4
aibf,7,4,2,8,3,1
aiih,7,7,7,7,6,4
ahaj,4,2,3,5,1,1
aaai,9,7,8,6,3,5
aheb,2,5,7,9,7,5
aidj,3,9,8,4,7,7
afdi,3,3,3,2,3,7
aejg,6,9,7,6,6,6
ahbe,2,5,2,3,2,9
aafi,7,1,5,1,1,6
afdb,9,7,2,8,3,9
aabh,4,2,3,8,3,3
aafe,6,1,5,1,3,2
abcj,4,7,5,1,8,5
ahcc,2,9,8,6,8,2
aggj,6,4,3,2,2,9
ahge,9,9,5,6,3,5
adga,3,3,3,9,3,9
acbh,7,9,1,1,1,5
ajdd,7,4,9,8,8,6
abbd,1,3,8,7,5,6
abaj,4,5,7,2,9,3
ajif,2,1,2,6,2,2
aicj,3,6,2,2,5,1
ahdf,4,9,4,6,2,5
aajd,3,6,2,4,1,3
aifd,1,3,1,1,2,4
aiia,5,1,9,9,9,8
afdc,8,4,2,4,7,3
aigi,3,5,6,6,5,6
adfa,1,7,1,6,6,8
aijf,9,3,2,8,3,2
agig,9,8,8,8,2,6
aegd,6,8,7,8,8,9
acaa,1,8,3,4,8,4
aaag,5,6,4,5,7,3
addi,1,7,9,3,7,5
afec,5,5,2,6,7,5
agce,5,5,3,4,6,5
adhb,1,8,5,9,2,1
ajib,9,3,7,3,2,6
aefg,2,3,7,3,5,4
agac,6,8,1,2,5,1
adjd,9,7,4,8,7,3
abba,6,7,1,2,6,9
abce,2,6,5,7,3,8
acji,2,8,6,4,7,4
acdd,1,9,5,6,5,7
afbd,5,2,5,8,1,6
ajje,8,3,7,8,8,5
afae,1,2,4,7,8,7
agdi,4,9,3,2,1,6
ahjc,4,1,3,2,3,2
acah,5,1,9,4,8,7
ahba,2,1,2,4,9,3
afjb,1,6,9,9,1,7
aeif,6,9,4,9,6,1
abgb,1,7,5,7,4,7
adde,2,7,4,9,8,2
ajjg,1,7,6,3,7,9
aiei,4,6,9,9,2,5
adah,8,4,6,8,6,5
ahcg,1,2,7,2,8,7
aeih,1,8,6,1,5,5
aheh,3,4,2,8,2,8
aaeh,2,9,1,9,3,9
ajbf,6,6,4,9,5,2
aiaa,9,5,2,5,8,7
affh,8,9,2,7,9,1
acib,2,2,9,3,7,9
afhi,6,5,4,7,1,9
adif,4,8,6,5,9,5
ahja,4,8,6,6,7,4
adeg,5,1,6,6,7,3
ahic,3,6,8,4,6,6
ahib,9,8,5,5,9,2
agfc,3,5,3,2,8,3
abhg,2,5,9,9,2,7
adhf,9,6,9,9,8,3
aice,1,2,1,6,7,6
aagb,6,2,9,3,8,7
ahaa,7,4,5,2,8,9
aaec,5,5,4,2,6,8
aajc,6,4,1,3,1,3
afbh,6,2,7,7,8,1
adih,4,5,1,4,1,9
ahai,7,3,2,3,9,3
abda,7,5,1,9,6,8
ageh,3,7,3,8,6,7
ahhd,8,7,3,8,9,8
aceb,5,1,1,5,8,4
aife,4,5,9,8,6,1
afje,1,7,5,1,8,4
afff,9,1,2,6,3,9
ajbh,1,4,9,3,3,1
acic,3,4,2,8,9,9
aiej,2,4,6,9,9,9
aebi,8,2,6,8,5,7
ajai,1,1,5,1,7,9
afib,6,3,9,7,9,8
adeh,3,1,5,5,9,4
adfi,5,1,8,2,8,7
adcg,6,7,2,9,6,4
aaig,3,3,4,9,5,9
ajhb,7,1,7,1,3,3
adja,7,4,7,1,5,9
accd,5,7,2,1,9,4
agjf,2,6,4,8,5,4
acih,3,2,3,3,6,4
aaah,9,4,2,6,7,5
abbf,2,4,8,6,3,6
agdj,5,6,1,5,3,1
afjg,6,5,5,5,3,6
agfi,5,5,8,7,2,5
agdc,8,6,5,6,9,1
afbf,3,1,5,2,4,7
adbb,6,4,8,9,1,8
aida,7,2,6,2,2,2
adhc,7,9,8,5,9,8
adia,5,4,7,5,3,4
aega,9,6,4,1,4,3
aibj,7,5,9,7,4,8
ahgd,2,4,5,3,9,9
aiic,9,4,9,2,5,8
ajgd,2,5,4,3,4,9
abaf,3,9,3,6,7,4
acea,5,9,9,6,6,2
acej,5,6,3,2,5,7
ajbj,1,3,3,4,8,8
aacd,5,9,2,1,2,5
abjj,8,5,5,3,7,5
aabj,2,1,9,7,6,8
ahcb,6,1,7,2,5,7
adgg,5,4,8,3,7,4
aaje,1,3,6,9,1,6
aaae,3,9,8,9,6,8
agcg,5,6,7,1,3,7
affj,6,3,8,2,2,6
agif,7,7,5,4,4,6
ajhi,8,8,7,5,2,3
adgd,6,1,6,4,9,6
adch,7,2,4,4,6,5
aafj,1,6,9,3,7,2
aegf,1,8,9,5,6,6
aefh,7,2,4,7,4,9
aeje,5,6,7,6,9,7
achj,3,9,5,6,2,8
abid,8,2,8,2,3,8
aeij,8,4,1,6,5,6
adej,7,3,7,6,2,7
abbh,9,3,9,3,8,6
ajfj,8,8,7,3,4,8
abdj,5,3,6,8,8,5
ajeh,1,1,1,7,4,4
ajjb,8,7,2,4,5,7
acfa,3,1,9,9,7,7
aggh,9,2,7,1,3,8
abad,4,5,8,4,7,1
abdi,2,6,8,8,6,1
ahad,1,2,8,3,7,8
aiea,3,8,3,3,3,6
afcg,9,9,2,9,9,5
agdd,6,4,2,7,3,6
ahbj,2,1,6,6,3,4
afig,6,1,5,3,4,2
abfe,6,7,9,7,4,9
aaga,9,3,8,2,8,3
afie,1,8,4,7,5,5
aafa,2,2,9,3,3,9
agaj,4,9,3,8,4,4
aacg,7,2,6,6,6,2
acag,2,9,5,3,6,6
agha,3,2,3,7,9,5
acgj,2,3,2,2,4,5
aaed,7,2,8,6,8,2
aidc,2,5,1,1,4,1
aage,5,9,8,3,2,4
acje,1,2,3,4,9,7
achi,6,2,6,8,8,8
agge,7,1,5,8,4,5
aggf,5,4,4,1,9,5
afed,8,9,5,9,9,1
acdj,2,3,9,3,9,3
acgb,1,6,2,8,1,5
aeac,1,9,2,7,9,9
affi,4,9,7,4,6,4
aecb,7,3,4,7,3,8
aici,2,2,1,3,8,6
ahjf,7,6,2,9,8,5
aihe,2,7,1,3,5,3
aeei,1,7,3,5,1,4
aide,7,4,8,9,1,6
agae,3,7,3,6,1,9
ageb,9,7,5,1,2,2
ajhd,6,3,6,8,3,3
agfb,8,4,6,7,2,6
aigc,4,6,1,5,8,1
aiha,7,7,7,1,6,9
aedc,9,6,6,4,7,1
abbe,3,8,5,8,2,3
ahca,1,9,3,3,7,7
aidi,8,2,2,1,4,1
agej,7,4,1,1,5,8
aadj,1,5,5,8,9,4
aeai,8,1,6,6,7,5
afbc,2,8,2,2,7,6
adje,3,8,5,8,1,9
ajga,9,2,8,2,6,5
aefi,9,6,9,7,5,3
ajfi,6,7,4,4,8,9
abic,9,5,4,1,4,2
acia,1,8,7,2,8,7
ahhe,7,2,3,4,6,2
aead,2,6,1,2,7,6
aeaa,3,8,4,9,2,1
afii,9,1,6,5,2,6
ahdc,1,6,8,4,3,7
abfg,9,3,3,3,6,3
acff,9,3,6,8,7,3
aeae,4,1,2,1,5,5
aebe,1,5,8,6,3,4
agaa,7,7,6,2,5,3
abch,3,7,7,2,8,5
aegi,1,2,3,8,8,3
agbi,5,3,7,4,4,4
aefc,4,3,1,6,4,1
adbf,1,6,7,6,8,9
adbe,3,2,4,8,8,8
aegg,9,2,8,8,9,2
acdg,6,8,6,3,7,5
acdc,8,9,3,2,1,5
agee,8,3,2,3,5,2
ajff,6,6,3,5,7,9
aeja,8,3,3,9,5,9
afcd,6,3,6,9,5,2
abae,6,9,7,9,4,9
afea,9,6,7,5,6,7
ajbg,2,1,3,9,4,2
aibe,5,9,6,1,4,5
afee,5,9,3,1,8,2
afad,7,5,3,4,9,6
aabg,1,8,3,9,3,2
abjg,3,7,5,4,9,4
afci,9,7,7,2,6,6
acac,8,2,6,6,1,3
ajce,4,7,7,8,3,8
aheg,6,4,6,4,9,9
aiie,3,7,2,9,2,9
afgf,6,8,8,7,4,3
ahbd,1,4,7,6,4,9
aahc,6,1,4,7,9,1
ahhf,9,2,8,3,6,2
ajcd,5,2,8,4,5,5
aaeb,3,4,1,3,8,8
aejf,6,7,3,8,3,7
aijc,4,2,2,8,8,3
aagi,6,4,5,7,5,4
aeea,4,9,8,4,6,5
ajjc,1,9,1,8,9,4
aieb,6,9,5,3,5,2
aghg,7,6,5,8,9,6
afgj,4,1,6,5,8,7
aagg,3,3,3,2,6,9
ahce,1,5,2,4,1,3
aibh,1,4,3,1,9,3
ahbc,3,9,2,7,9,7
ahch,7,4,4,2,8,9
ajei,9,6,3,8,6,4
abhd,8,8,8,3,8,5
aabi,3,7,6,1,6,4
ahhg,5,5,1,2,6,1
adii,5,5,6,5,8,8
aaij,5,8,6,3,6,3
aicd,9,3,6,6,2,7
agad,3,4,1,7,3,6
adfg,4,4,8,8,4,3
acii,1,2,1,3,2,9
abci,1,3,7,5,7,4
aege,8,4,6,3,5,9
adbg,5,6,7,6,1,2
aafb,8,2,1,6,4,2
abdf,4,8,1,4,2,6
agij,3,6,4,9,8,6
ahei,1,4,1,1,2,1
aaef,4,6,5,8,9,5
agch,8,6,9,8,9,7
afgb,6,1,9,3,3,1
acgc,1,4,3,9,1,4
acda,9,1,7,9,9,8
abib,7,4,5,1,7,4
abbb,2,3,8,5,9,2
ahig,2,4,9,6,1,9
aaca,1,5,9,6,9,7
afaj,5,2,7,1,9,8
aecj,2,2,3,4,7,3
aehe,2,1,4,7,5,9
ajdg,2,5,6,7,6,4
aabc,8,7,9,6,8,7
aejc,2,8,6,1,4,8
abfb,9,2,9,2,2,6
aifc,8,1,5,4,9,8
aaic,1,8,6,9,7,5
ahec,7,3,1,9,4,1
abie,5,3,1,9,2,4
aajg,2,3,3,5,6,8
afej,9,8,2,7,3,9
ajgh,7,5,3,1,1,7
ahgb,2,5,9,1,4,7
abfd,2,1,7,9,8,7
aggd,7,5,8,6,6,3
agab,9,5,8,1,1,8
acfj,8,3,9,6,7,8
ajdf,9,6,7,7,5,8
ahfe,1,7,2,8,6,6
aiaf,3,1,4,2,7,9
aihj,7,3,5,3,1,4
aiec,8,4,3,6,6,2
ahda,8,2,8,5,3,7
aaci,8,7,3,5,6,5
agba,8,9,2,6,6,3
agdg,9,5,1,1,2,3
aeag,4,8,2,6,1,8
agid,1,6,4,3,6,5
accj,4,7,5,9,5,8
afbg,4,7,3,3,1,3
agjb,4,1,4,3,3,2
aifg,7,6,4,1,1,3
aiff,4,4,7,8,9,3
abgd,5,9,8,9,6,7
achb,5,6,5,3,9,8
ajcb,6,9,7,1,8,3
ajch,7,6,2,3,7,4
afic,9,5,2,3,1,1
adba,5,3,5,6,8,8
aiai,9,8,8,3,5,4
aaaf,3,2,1,3,1,5
aede,7,5,8,3,6,9
adjb,8,6,3,2,4,5
aaha,4,5,7,1,3,9
abdc,8,2,5,6,5,7
aggc,3,2,1,9,7,9
aafc,6,6,6,7,7,3
ajdi,8,3,7,5,8,8
aiag,7,5,7,8,4,7
aiij,1,8,2,2,1,7
aigd,3,3,6,2,3,4
aghc,6,1,4,9,7,7
agfd,2,1,7,8,2,8
aica,1,9,5,2,3,4
agdb,5,7,4,7,1,9
achg,1,8,9,6,9,6
abfc,1,2,3,1,3,2
afhd,4,8,6,9,6,9
aajh,2,8,4,7,5,9
adfb,8,3,4,7,3,2
ahfh,6,4,9,4,1,7
afca,1,9,3,4,4,7
ajed,9,6,6,5,5,8
adge,8,6,3,1,5,1
adab,3,3,3,6,2,4
abde,3,7,1,8,9,2
agci,2,1,3,9,6,8
adaf,8,4,8,9,8,2
acfd,4,4,6,1,8,6
ajfd,6,4,1,6,6,3
agfh,4,1,2,2,1,2
aieg,4,3,6,9,4,6
aecc,6,1,5,4,6,4
ahfb,5,2,7,2,5,2
agbf,5,2,7,5,9,8
abei,9,3,7,4,1,2
aaja,3,8,3,8,2,3
aace,9,1,2,7,7,9
abgj,8,3,7,7,4,9
aebb,2,3,3,7,3,4
agda,1,2,4,6,9,3
aibc,6,7,8,7,3,4
acbf,6,9,4,1,5,8
afeh,1,9,1,2,8,6
ahij,9,5,2,2,3,5
agia,7,2,1,4,2,9
aaac,5,1,2,1,7,3
acjf,3,8,8,3,2,5
afhe,2,9,8,3,4,2
afhb,7,2,7,7,2,9
abhi,6,9,7,4,8,8
abag,8,5,8,8,1,5
aceh,2,9,8,5,5,9
aaee,7,4,7,7,3,2
aedd,4,1,1,4,7,5
ajba,2,2,6,1,2,1
adaj,3,2,1,8,2,5
aejj,9,2,1,3,2,1
adie,5,5,8,5,8,7
abdg,7,3,6,8,5,9
aaif,1,5,9,8,2,7
adfc,9,4,8,3,8,4
ahff,7,6,1,7,8,5
aifi,2,9,1,3,4,9
aeib,9,6,1,2,4,5
acch,3,9,2,8,1,7
ahji,9,6,9,5,1,7
aded,2,1,3,2,9,3
acca,6,9,1,8,5,4
adae,3,1,9,9,7,5
aidg,6,6,9,9,6,4
afge,8,7,8,8,7,6
acjb,8,3,3,1,6,7
