bajj,1,7,2,4,8,9
bhib,5,9,5,4,9,4
bfag,5,6,6,4,4,8
bafi,7,1,5,3,4,5
bdga,6,2,2,2,4,8
bhic,2,8,9,6,4,6
beec,4,4,9,5,7,4
bafh,2,6,2,4,6,5
bjhc,1,2,9,7,1,2
bhhi,6,1,3,1,9,7
bgaj,2,9,9,1,3,2
bcdd,1,6,4,1,2,3
bieg,9,6,6,9,1,8
bdeg,1,7,9,5,1,1
bafe,4,7,7,3,6,9
bebf,5,9,5,5,7,8
bgbi,6,5,5,8,6,4
bfbc,8,3,5,7,6,5
bgcj,8,7,6,3,4,9
beii,9,2,9,8,1,7
bjaa,9,8,7,3,2,6
bfib,4,3,5,6,5,5
bccc,7,6,6,9,9,9
bfea,6,1,7,1,9,8
bgbe,2,1,7,5,5,7
badi,1,6,7,4,4,4
bdja,1,3,9,4,5,4
behg,7,7,3,8,2,7
bdff,8,4,4,3,7,6
bjcg,3,9,3,1,7,7
bfha,7,6,3,4,4,1
behf,3,5,6,7,1,4
bbcc,1,5,7,6,3,1
beej,7,1,7,2,1,1
beah,6,3,9,3,9,9
biaa,4,1,3,2,7,9
baba,4,9,8,4,1,2
bhgc,2,8,9,8,6,7
bihb,9,7,4,8,4,7
badg,3,3,3,6,8,4
bgcf,5,4,8,4,7,8
biag,3,1,1,1,5,6
bhdg,4,3,2,1,8,3
bhag,1,8,7,5,5,5
baja,3,1,3,3,1,7
baad,1,2,3,2,8,5
behd,4,3,9,1,5,1
bjgg,2,7,8,8,7,8
bjae,5,6,4,9,7,7
bcbd,5,6,3,2,6,7
bfeh,7,7,2,9,3,8
bbgf,2,6,4,2,8,2
bhcj,3,3,6,1,8,8
babc,5,2,4,4,4,6
bdgb,3,9,4,9,3,1
bbfj,7,5,1,9,3,1
befa,3,1,2,2,3,3
bdib,3,5,6,7,7,8
baaj,1,2,9,7,4,2
bbhf,9,8,8,6,7,7
bahi,8,1,2,3,6,2
bbcj,3,8,2,4,9,6
bhgg,1,9,7,6,9,3
bhhe,5,6,6,1,5,2
bbdc,8,8,9,3,7,8
bbde,4,9,6,6,4,6
bach,2,2,7,8,6,3
bgfc,3,4,5,5,5,3
baff,3,8,4,4,9,4
bajh,1,2,1,9,2,9
bjdi,1,3,9,5,5,6
bdij,9,9,5,8,5,2
bcej,4,6,3,5,5,5
baaa,5,4,7,6,4,7
bahb,2,6,3,8,7,1
bgja,5,8,5,1,3,4
bjbf,2,7,5,7,3,7
bbhb,8,3,2,3,9,8
bcji,1,1,5,6,2,1
bchg,7,8,6,7,8,9
bbgd,8,8,9,1,5,1
biji,9,8,4,8,9,2
bjic,2,5,1,8,3,3
bidh,7,8,2,3,6,7
bdbg,1,8,1,2,8,3
behb,6,9,5,4,1,1
bgff,2,9,8,7,7,8
bjba,3,6,7,8,7,5
bffc,3,7,7,5,2,8
bice,1,8,3,2,2,1
bggf,1,6,1,3,4,3
bdcb,7,2,2,1,6,4
bjjd,3,2,2,2,8,1
bjfg,5,7,8,4,6,6
bcdh,1,2,9,6,7,6
bijd,9,6,7,1,1,4
bihh,8,5,4,1,5,9
bfba,9,2,3,9,4,9
bebg,7,4,7,3,4,2
bjjc,5,5,7,4,6,5
bedc,7,6,1,9,7,6
bcic,4,6,3,7,6,2
bbee,9,2,7,2,7,5
bifb,2,2,3,5,8,5
bjfd,6,9,6,1,1,5
bccg,1,5,4,6,6,9
bcda,6,3,2,4,1,7
bdfe,9,6,4,5,4,5
bjig,2,7,8,9,1,8
bfda,1,4,2,9,5,7
bhbb,2,7,1,5,4,3
bhaj,7,8,6,9,7,1
bdgh,6,2,8,3,8,4
bcdj,8,5,7,9,4,9
badh,4,4,4,4,7,1
biab,3,4,6,3,7,6
befj,3,3,7,5,3,8
bjfc,2,1,2,7,1,4
biib,2,9,7,8,3,8
bbac,8,6,9,7,3,8
bagb,8,7,1,1,7,5
beeg,9,7,2,6,7,9
bfij,1,6,1,2,3,4
bdje,2,8,1,9,1,8
bajg,9,2,4,3,3,5
bgjf,4,3,2,5,6,9
bdhi,9,8,7,2,5,6
bhgj,2,3,4,7,4,1
bibe,5,7,4,6,3,9
bihj,6,4,8,1,5,6
bbge,7,9,9,6,5,2
bcdb,4,2,6,9,3,4
bfei,9,4,1,3,4,6
bdif,7,5,7,2,8,5
bedj,4,8,6,7,4,9
bgbf,2,2,4,1,3,2
biae,1,2,5,6,6,4
bbjd,9,8,3,2,9,7
bdhg,4,7,8,4,6,8
biec,7,4,5,9,2,3
bbie,4,2,1,4,5,9
beja,4,4,4,8,7,9
biea,7,2,2,7,7,5
bddh,3,9,8,1,4,3
bhjc,6,3,5,5,9,2
baaf,6,2,6,5,5,4
bbgi,7,8,9,2,5,7
bjfe,9,8,4,9,7,7
bcib,1,3,6,8,7,3
bagc,8,3,9,1,7,3
bhbd,2,8,1,2,6,1
bbdg,2,5,6,7,6,9
bcha,8,7,3,1,6,4
bjii,5,9,3,1,7,9
bgid,9,1,8,5,1,4
bfjg,8,1,4,5,6,7
babh,8,8,3,7,4,2
bdee,5,6,4,9,4,8
bgch,5,3,8,5,5,7
bhae,3,2,2,4,7,1
bgee,8,9,8,5,1,9
baih,3,3,6,2,7,8
bbbb,6,1,1,3,1,7
bfej,9,2,9,6,7,5
bgji,3,4,1,4,1,8
bfbi,3,8,8,4,8,6
bhec,9,1,5,4,1,6
bhab,6,4,9,5,7,1
bcgb,4,3,4,1,6,1
bahc,7,1,9,9,6,4
bjeb,2,8,6,5,2,7
bfab,9,5,9,3,9,9
bjdb,3,7,3,5,3,1
bcfd,6,2,5,9,7,6
bejf,8,3,2,3,2,7
bagf,9,9,3,6,3,5
bfbj,7,6,6,7,2,2
bgea,3,4,8,4,2,6
bdda,8,2,3,5,8,4
bbeh,8,8,1,9,3,8
