cbcc,9,7,7,4,3,8
caia,3,4,8,6,4,4
cbgf,9,9,1,2,4,7
cifa,9,3,7,2,3,9
caej,3,5,6,8,6,1
cffj,2,6,7,7,4,9
cffg,8,9,9,1,4,3
chai,7,1,6,1,2,7
cbcb,1,5,6,8,7,1
cijg,9,7,2,6,1,5
cdhj,5,4,2,8,2,3
cedc,1,7,6,9,1,8
caac,9,7,3,2,4,6
cjbi,9,4,9,5,2,6
cech,9,5,2,6,9,2
cgdi,5,1,1,5,5,7
cafc,3,3,7,1,8,8
ccfe,6,6,1,6,4,9
ciig,1,5,6,5,1,5
cjff,4,8,3,1,7,5
cicb,5,7,6,8,2,1
ccii,8,4,5,3,8,5
cdej,1,2,8,8,7,9
ccic,7,8,2,1,9,7
caai,4,2,2,3,2,2
ceeh,6,5,6,3,8,6
cdbf,5,9,6,7,8,1
cahg,1,1,2,7,3,4
cbei,3,4,8,2,1,6
ceic,5,2,3,9,3,5
chhi,5,7,3,7,3,9
cgbh,7,2,1,1,5,9
cabe,6,6,4,1,3,9
cgfd,1,5,2,5,6,6
cbfj,3,8,1,5,3,1
cdge,2,8,5,7,2,7
chbc,9,3,2,3,6,7
cgaf,6,7,8,5,3,7
chii,1,7,2,5,4,8
cfde,6,4,2,2,4,2
cjhb,3,8,1,9,9,9
cccb,3,1,7,9,9,7
cfbi,6,5,1,2,9,6
cbcj,1,5,2,3,3,5
cibg,1,5,6,9,6,7
cfhi,3,6,9,2,7,7
cahj,6,1,4,3,5,6
cbda,3,1,7,4,4,3
cddg,9,2,6,2,7,2
ccfg,7,7,7,6,8,2
cibb,1,6,4,3,9,8
ccdi,1,6,8,2,2,2
chdd,1,3,9,4,3,8
cahh,1,2,3,1,7,6
cgbf,2,2,5,8,6,4
cfhc,9,7,3,4,4,7
cfff,2,1,9,6,3,9
cffb,4,8,6,7,1,8
cjij,4,2,1,4,5,1
ccfa,3,3,1,4,4,8
chcd,7,3,6,3,5,3
cbgj,1,3,5,4,9,9
cdih,7,7,9,7,3,2
cadd,7,3,7,2,6,9
cfga,5,2,8,6,7,7
cfgc,6,6,2,5,9,1
cfad,4,6,7,3,4,5
cbgc,6,3,4,6,8,9
ccae,8,9,4,3,8,6
cfdi,6,7,7,9,1,2
ciic,6,2,8,7,9,5
cdai,9,6,5,6,1,4
cghj,4,8,9,2,6,6
cbhg,7,7,7,6,2,8
caee,5,9,8,9,6,7
cdfa,9,9,1,2,5,7
ccba,5,1,2,5,3,4
cbfh,2,4,5,8,7,7
ccjg,4,8,4,7,9,9
cbhd,1,7,2,5,9,6
cbdd,5,8,3,8,1,6
cfbd,5,6,3,4,2,7
cdgd,6,3,7,6,4,6
caii,4,4,1,8,9,6
cjhf,3,5,2,9,8,9
ceai,6,6,4,5,2,7
chig,6,5,2,7,5,6
ceca,4,4,7,2,9,8
cbba,4,9,3,2,1,5
cbje,5,4,4,7,3,8
cehb,3,8,9,8,3,7
cfaf,8,8,3,7,2,4
cfcg,8,9,7,8,5,3
cafg,8,9,1,3,2,9
cchf,8,6,2,1,1,3
cegg,4,2,9,2,9,3
cfdj,6,2,1,2,3,7
cjja,4,6,2,7,5,2
ceea,8,4,9,7,4,8
cehc,1,9,7,6,8,1
caig,5,8,3,7,8,4
cjje,7,1,4,1,3,4
cbji,3,2,2,7,3,6
cggf,6,2,7,1,8,7
cgcf,8,5,3,3,1,6
cica,2,1,6,3,9,9
cdda,4,6,6,5,6,2
ceec,1,1,7,7,6,9
cagj,1,3,8,4,9,6
cejd,5,3,5,6,4,9
cgch,2,2,9,7,2,6
cceb,4,7,1,9,2,2
cgcb,7,4,1,8,4,5
ccai,4,1,2,8,6,6
chcj,2,7,8,6,9,7
chaa,6,9,1,7,9,1
cjbe,3,7,9,1,4,1
cacd,6,5,4,9,5,1
caja,9,8,5,3,1,1
cgag,8,9,3,6,8,7
cdcb,8,7,5,8,6,7
cidf,7,3,6,5,9,1
cdbj,1,5,7,8,5,3
cied,8,9,6,3,2,8
chij,3,3,5,5,9,9
cjii,1,4,9,2,8,5
cebj,7,2,7,6,7,2
cahe,3,7,4,5,2,8
cabd,8,4,2,9,8,1
cgce,6,5,5,3,9,2
cacb,8,2,2,8,4,7
cjgj,5,8,8,8,2,8
cifg,3,4,1,5,6,5
cjbf,8,6,3,7,5,2
cihd,5,5,5,8,8,9
caed,1,5,4,3,2,1
cdei,1,7,6,9,5,2
cici,4,5,8,8,6,7
cffi,9,7,9,8,9,4
ciha,1,9,7,3,8,4
cehi,2,4,3,7,2,5
cejc,2,8,5,1,6,8
cigc,8,9,1,9,4,8
cgac,1,4,2,9,2,6
cije,5,4,1,1,2,4
cjfd,8,8,3,5,5,3
chhd,9,8,8,5,8,7
ccbj,4,8,2,6,7,3
ccci,6,7,3,8,4,9
cbic,3,9,3,3,6,8
chdc,2,8,3,8,4,9
cjde,2,8,6,3,2,2
cfgi,7,7,3,3,2,3
cbfg,7,4,5,6,2,3
cgie,1,6,7,4,7,3
cjha,6,1,1,7,6,4
ciae,5,7,6,8,3,9
cefd,3,8,8,3,3,2
cgcd,9,4,1,9,8,9
cjic,4,6,1,2,7,2
cbhe,5,1,1,9,2,7
cbfc,1,7,7,8,4,9
cfbf,2,9,5,6,3,8
cjgd,8,4,6,2,7,6
ccef,4,4,2,1,6,1
cgcj,3,7,9,8,9,1
ccjb,2,1,7,2,6,2
cifi,8,3,6,2,2,8
cfhe,6,6,9,5,3,7
cbjc,1,2,3,2,8,7
chac,9,9,6,2,4,9
ceaf,3,8,6,4,1,1
ccgc,5,6,1,2,9,2
cdfc,5,4,6,4,7,6
cebb,1,3,9,3,5,1
cjeh,3,6,3,5,9,1
cjia,8,8,8,6,1,8
chfh,6,6,2,6,4,4
cige,1,6,1,8,8,8
cgjg,7,9,4,7,3,7
cefj,6,9,3,8,5,3
cdbd,9,9,4,6,6,4
cjcj,6,1,6,6,4,6
cbag,8,4,9,9,5,2
cahf,5,1,8,4,8,7
cafj,5,7,1,9,7,2
cjdh,5,6,4,7,1,3
cibi,8,8,6,1,5,1
cgde,4,6,5,4,5,6
cagh,7,4,1,7,8,8
cefe,7,4,6,5,5,3
ccbb,9,8,2,5,5,5
cebd,9,4,2,1,7,9
chja,9,5,8,6,5,9
caeg,8,3,5,5,8,4
cgdj,2,7,6,4,6,7
cbcf,5,8,3,5,9,4
cdfd,4,6,4,7,3,2
cccd,9,6,4,7,2,5
chda,8,1,9,7,4,4
chie,9,9,1,6,7,9
cfhg,3,4,2,8,5,9
cjdd,8,9,8,8,5,7
cicc,8,7,2,2,3,9
cheh,6,4,3,1,7,9
cegh,3,7,8,2,6,9
cjjf,2,5,5,8,3,5
ccbg,4,7,8,6,4,8
cfdb,8,3,9,3,6,7
chci,3,9,4,1,2,8
cche,4,2,5,1,9,9
cgbg,5,7,3,4,1,5
cffd,5,3,6,9,6,1
cedf,6,9,2,2,7,2
cajj,5,7,4,5,1,1
cjif,1,4,2,7,9,2
cjci,6,3,8,8,4,7
cbai,2,7,1,6,1,4
cfac,1,5,3,9,9,7
cdde,3,7,7,2,1,5
cbgi,1,5,8,7,3,7
cdbg,3,1,5,1,3,5
cbed,6,5,6,1,5,5
cbdj,8,8,7,1,6,5
ciaj,8,1,8,5,1,6
cihe,8,4,7,7,2,9
cgbi,1,1,6,7,5,2
cieg,8,3,9,1,6,4
ccaj,7,5,6,7,8,9
cefh,9,4,9,7,3,8
cich,9,5,1,2,3,5
ceac,3,1,9,6,1,7
cbhh,8,2,1,1,5,2
chif,6,8,8,4,6,2
cijj,1,6,2,7,1,7
cgji,5,6,9,2,9,4
cjag,7,3,2,6,8,7
cdag,4,3,2,2,9,7
cice,8,8,9,4,7,7
cdci,5,2,3,5,4,8
ceef,7,2,1,5,5,7
