dbeb,6,1,4,1,2,6
djjh,2,2,2,9,6,7
dceb,3,6,7,7,2,5
dgii,8,7,1,9,3,3
dhgi,9,6,5,8,1,6
debb,6,7,5,3,1,5
degd,8,4,2,3,3,8
dfhj,1,2,4,1,7,1
daaf,7,5,8,9,2,1
daie,2,1,7,6,1,7
dbde,9,2,6,4,5,7
dafb,6,5,2,5,2,8
daca,1,8,5,9,1,9
daba,6,2,9,1,7,2
dcdi,1,6,4,4,7,1
dcde,7,9,1,7,9,2
daif,3,8,8,3,4,7
ddef,2,9,6,9,8,4
dffc,1,7,6,2,7,7
dgbd,3,7,6,9,3,5
dhbg,6,9,1,5,1,2
dfdh,1,9,7,6,2,6
djeg,3,2,3,3,9,9
dice,8,5,9,1,8,9
dbgj,6,2,9,7,7,3
dbbi,4,7,7,5,3,4
deia,9,8,2,9,1,5
dchd,3,7,8,4,2,9
dahd,8,2,5,3,8,2
dcid,2,7,5,3,4,5
dddc,3,4,1,3,3,5
dgej,5,6,1,8,1,9
djga,2,1,4,6,1,8
dcci,3,4,5,5,6,5
djbj,2,9,5,2,4,1
ddbh,2,7,5,2,3,8
dchg,6,4,8,7,4,1
dfia,2,3,7,6,6,5
dffi,4,5,4,3,5,4
dggb,7,6,5,7,2,7
dhdi,9,7,7,9,2,7
dgfi,4,1,7,1,6,1
dcef,6,1,9,4,7,8
djba,2,2,2,6,1,3
dcge,8,9,5,5,3,9
dbhi,1,2,7,9,7,2
dajh,1,9,9,8,2,7
daid,9,1,6,7,4,8
degb,1,4,7,7,5,7
difg,3,4,7,6,5,1
dgjj,4,8,1,2,8,2
dhja,5,5,6,7,1,3
dddh,4,9,3,6,7,7
dfjf,1,6,4,3,3,8
daia,5,3,3,5,1,9
dhbe,2,3,9,6,5,7
dcbc,3,4,4,5,5,9
dfff,7,1,3,2,3,1
debg,5,1,7,5,1,4
djce,9,5,9,4,8,1
dhbf,4,2,2,8,5,4
difb,5,9,8,7,8,7
didd,2,1,6,8,6,7
dabf,7,1,4,9,9,4
dddg,5,7,9,6,9,3
dfag,7,5,7,8,3,5
ddec,8,4,4,6,6,1
dhca,1,3,1,6,8,5
dheh,1,7,6,4,2,2
dabd,8,9,3,1,5,1
djbh,9,6,8,2,4,8
dbci,9,6,5,7,4,7
defa,9,1,8,8,5,3
dcfg,4,1,7,7,9,7
dedg,3,9,5,4,4,1
dafe,9,8,8,9,8,7
degg,9,8,6,2,9,2
djhj,6,7,2,9,2,4
dccf,8,7,7,6,4,9
dahb,6,7,4,4,4,1
decf,2,5,1,8,1,5
daeg,2,2,2,5,1,3
dfjc,8,2,4,9,1,3
dfjj,6,5,2,3,9,2
dgia,1,2,6,6,2,2
dhhh,1,1,7,6,5,1
didj,2,9,7,9,5,9
ddcg,3,2,1,5,6,6
ddeb,5,1,5,5,1,9
dcce,4,9,9,8,6,3
ddaf,7,2,5,3,7,1
daig,5,4,1,1,8,8
dhjd,7,2,3,5,4,4
dgae,1,1,2,7,2,1
djha,5,5,2,9,7,2
deci,4,4,3,8,4,6
dfhg,3,7,2,7,4,8
dhef,4,5,5,4,7,7
djge,1,8,9,3,9,2
dffe,1,7,3,8,9,4
dige,4,7,9,2,5,4
dagj,7,6,3,5,4,3
djfe,6,4,8,1,1,6
dhcf,3,5,8,1,8,9
dgjf,5,1,7,2,7,9
dhah,7,2,5,9,1,1
ddgf,1,8,5,4,2,6
dhij,7,3,6,2,2,3
dafa,6,5,8,5,5,6
dfej,8,1,9,8,3,3
didb,7,6,2,1,5,2
dijb,8,9,6,8,4,9
dbjj,5,4,3,7,6,5
dbad,3,9,3,5,3,6
dfhi,5,7,4,7,6,3
dfad,9,9,6,7,2,3
dfid,5,3,9,6,9,9
dheb,5,8,9,6,7,8
dhda,3,7,3,4,2,6
djag,3,6,5,3,4,5
djej,8,5,9,4,7,3
djbc,5,6,1,2,9,2
diaf,3,4,8,4,3,9
ddbg,9,2,4,4,8,6
dejh,5,4,7,3,1,3
dbab,6,4,5,6,2,2
ddij,9,8,5,9,5,7
dbah,3,7,7,4,3,4
dadj,1,7,5,9,3,9
djjb,1,6,8,3,2,1
dibh,2,5,2,5,4,8
defd,8,7,3,9,3,7
diig,4,4,5,2,5,7
dfbj,6,6,8,7,1,2
djgd,2,1,8,3,8,7
djfj,7,9,1,7,1,8
dcff,1,1,4,7,5,6
dadc,2,2,8,1,4,1
diee,3,5,6,7,9,8
dbaa,4,1,6,2,8,9
daje,7,9,5,3,9,4
ddfg,8,5,8,1,2,2
dhfi,1,6,5,8,3,1
debd,6,3,3,1,6,7
djda,3,9,2,9,4,8
dafc,5,8,7,8,1,2
dfgh,8,1,2,8,3,3
dhhc,1,8,6,7,9,7
dfai,1,5,5,2,5,5
dbhg,7,4,2,2,6,2
dhaf,2,5,2,7,1,1
dhbc,7,2,2,5,2,3
dbcg,1,8,8,4,4,6
dfei,8,6,9,1,5,2
djaj,6,4,4,7,4,8
dccb,5,3,6,6,6,1
dejb,9,7,8,1,5,6
dbhf,1,9,7,1,3,8
dfbg,5,1,9,6,8,2
degi,5,9,4,1,9,2
dfdb,2,7,6,1,4,2
dhig,9,5,5,7,4,2
djeh,6,8,7,5,3,5
dgdb,8,2,7,8,8,8
dfdj,6,6,9,1,7,9
djfa,3,8,4,8,7,9
dhcj,6,6,2,9,8,2
dacf,6,5,5,5,7,8
dihj,7,8,2,9,2,7
dcei,3,3,7,7,9,2
dica,9,4,3,5,8,5
dffa,1,8,5,2,4,7
dicb,7,7,6,4,8,6
dach,4,5,9,6,2,7
ddhg,5,1,7,6,4,9
dgfe,1,1,5,8,3,7
dieh,7,2,3,6,4,6
dcgc,2,9,1,8,9,6
