ejah,2,4,9,5,9,7
efhe,1,5,5,1,5,6
eecc,9,1,6,1,9,5
eeae,5,8,4,8,1,4
ebfc,8,7,3,7,7,4
egbc,2,4,8,1,2,9
eihc,4,7,6,7,5,7
ebda,5,1,3,1,2,2
eefa,6,3,7,7,5,6
eica,8,3,8,7,8,2
ejcb,5,5,6,6,7,7
ebjc,5,7,9,9,9,8
eaic,9,3,1,4,3,4
ejeh,6,7,2,7,1,1
eeeg,3,9,5,5,2,3
ejbi,5,1,3,2,8,2
ejdb,5,6,7,5,6,5
ecbe,8,9,6,6,1,4
ebgh,5,9,2,3,3,6
edhg,7,7,6,2,2,4
ejbb,3,9,8,3,3,6
eafa,3,4,3,5,5,9
egbj,1,5,7,1,9,7
ejcc,4,5,5,1,2,7
ebjh,2,7,4,6,5,3
ehdf,6,4,1,6,7,5
efha,7,4,7,3,3,4
ejje,6,6,4,6,2,6
egjh,3,7,5,6,1,8
edba,1,9,4,4,4,8
ebdd,7,2,7,5,2,1
ejfh,9,1,1,9,6,9
eiec,2,5,6,1,8,5
efhi,9,8,3,7,2,5
edij,4,5,6,8,9,9
ecfd,5,3,6,9,4,5
eebh,6,3,3,3,2,7
eefc,1,1,9,6,1,7
efde,1,2,3,4,4,5
eghi,1,9,8,5,8,2
eafj,3,8,3,5,3,7
efdh,3,4,2,3,7,7
edcg,3,7,8,5,3,7
effh,8,8,4,4,8,2
eeaa,2,7,9,5,7,3
egei,4,3,8,2,8,2
ehcd,7,1,2,7,7,1
ejcf,6,9,2,4,5,2
ehdj,5,7,7,1,1,9
ehfb,2,9,4,7,7,1
ehhg,2,5,1,7,8,3
ebgf,1,4,7,5,2,1
ecig,2,6,2,4,2,9
egec,4,5,5,5,9,7
edbc,6,7,2,9,8,7
ejhg,9,3,1,5,8,4
ecdg,8,8,8,8,7,4
egjb,8,9,9,2,7,6
eaei,7,9,1,7,4,5
eede,1,6,9,5,2,4
ecib,5,3,6,3,8,4
edfc,3,8,1,9,8,6
ejdd,2,5,3,7,8,4
eccc,7,6,6,1,4,7
eghh,9,2,3,3,3,7
efei,7,4,9,7,4,7
eadj,8,9,1,9,7,9
eaeb,9,8,2,2,8,9
eeej,2,6,4,3,5,7
edfh,6,9,2,1,1,1
ehie,8,7,2,4,4,6
ebfg,9,8,1,5,2,5
eaad,7,2,8,8,9,7
eebb,6,6,8,2,1,7
eehj,3,5,9,1,5,3
eiaj,3,3,3,9,9,3
ehfa,9,2,2,4,8,4
ejba,2,3,3,5,7,7
ehfd,9,4,3,1,3,3
eddc,5,7,6,3,3,5
ecfh,4,8,8,3,6,5
eecg,2,5,8,6,3,9
eiga,2,3,3,1,8,9
ecfe,6,6,4,1,9,5
ecgc,9,9,5,4,8,2
