edaj,2,4,3,2,4,5
eijb,8,1,4,3,3,4
ejbc,3,9,9,2,4,5
eiah,8,3,6,4,6,7
egid,4,7,1,4,3,5
edej,4,2,8,1,5,2
ecgh,1,9,7,5,6,2
ejeh,2,2,9,2,3,4
edcd,7,7,5,2,8,6
eeie,6,1,9,1,3,4
ehdb,4,5,5,3,6,2
eiid,6,4,3,9,7,1
eaca,3,7,1,4,2,8
eeff,1,7,9,1,3,8
efhj,8,5,8,2,6,6
ejfa,8,1,3,1,9,8
eada,7,5,9,2,5,3
eeec,2,7,3,7,5,6
efee,2,4,5,1,5,6
ecef,5,4,4,4,5,3
ehfh,2,7,8,1,2,6
eiii,8,1,4,1,4,6
ehbf,2,5,4,6,2,1
ejcb,9,7,7,5,5,2
egdf,1,3,8,1,3,4
eghf,5,8,1,4,5,9
eeac,2,9,1,3,4,9
efci,3,4,6,3,6,9
ehce,4,7,2,5,8,9
ebac,5,2,5,4,6,5
efig,2,8,4,1,7,8
ebeh,2,5,6,1,2,4
edag,4,3,1,5,1,8
eedg,3,6,9,8,7,5
ebjh,9,6,2,7,1,8
eeha,7,2,1,3,9,4
ecja,3,5,3,2,6,5
efjd,7,7,9,3,7,8
edgi,8,2,3,5,6,3
eeii,5,6,1,5,1,1
efbf,4,9,5,6,3,2
egae,1,7,3,2,3,2
eaji,2,9,8,5,2,9
eehj,8,6,5,6,6,4
ehbe,8,8,6,1,1,5
efda,7,1,7,1,5,8
eaaf,1,2,9,5,3,6
egje,9,2,9,8,2,9
ejbb,2,6,8,8,6,2
edjf,2,5,5,8,4,1
ehhe,4,7,7,1,9,1
egda,9,4,5,7,3,8
edah,4,1,4,9,3,9
eeei,6,9,6,2,7,7
edhb,4,2,2,8,8,3
eiic,3,3,9,2,4,3
edfc,8,6,1,7,1,8
egai,8,3,3,9,4,8
ecgd,5,1,7,9,4,7
ebej,5,8,8,2,5,3
efdc,6,3,4,5,5,9
efac,9,5,2,8,8,9
eiaj,8,8,5,8,8,5
eged,8,2,7,5,1,2
eaic,5,7,7,1,7,3
eebb,1,4,9,9,6,3
edjd,8,4,6,9,2,3
ebdi,3,1,2,2,3,1
ecgg,6,6,4,6,6,9
eahe,1,7,1,6,6,6
ecje,8,6,4,8,8,8
ebge,4,8,8,6,7,8
eieb,2,9,5,8,8,9
egdc,4,8,7,2,5,2
eeif,7,6,1,9,3,4
egeg,5,7,5,3,1,3
edhi,5,1,9,4,5,8
ejjj,2,3,5,9,2,7
