feah,4,6,1,3,7,9
fjga,1,9,3,7,1,3
fiib,6,2,5,5,1,1
fgae,3,9,8,2,8,7
fbbf,8,2,6,6,2,5
fhdc,7,9,5,5,7,6
fajd,4,3,1,9,2,5
fhhc,3,5,7,2,6,2
fiag,5,7,2,2,5,4
fcji,2,7,2,1,2,8
fjch,5,6,2,6,1,8
fcih,8,6,9,3,5,4
figa,6,3,6,9,2,3
fdhc,2,4,7,7,3,8
fhjj,5,5,7,4,1,6
fedb,7,1,5,2,5,9
fbah,9,3,5,4,9,6
fceg,9,3,6,2,1,5
fadf,4,3,5,2,4,3
fghe,5,3,2,8,8,8
fhad,8,8,5,2,4,1
fejc,5,1,8,1,4,1
ffha,9,8,7,5,2,1
fffd,5,5,8,7,7,6
fgad,2,1,9,3,6,1
fbfa,1,7,3,8,5,4
fbga,9,9,3,7,5,1
ffac,5,9,7,8,7,4
face,5,2,1,9,9,6
fegd,8,1,9,8,1,1
fcia,2,3,5,4,4,7
feae,9,4,7,2,2,1
fjij,4,5,4,1,5,6
fjgj,3,2,8,3,5,9
fcjc,1,5,2,9,4,2
fejg,9,1,3,8,1,1
fedj,3,2,9,4,2,4
fdag,5,9,3,9,4,2
fiih,4,2,3,8,7,1
feja,4,7,1,5,8,2
fehf,2,1,5,5,7,6
fadj,3,9,2,6,8,5
fida,9,2,1,6,1,5
fdih,2,6,1,6,4,8
fbeg,2,2,3,7,4,4
figc,5,5,9,2,9,3
fabg,4,5,2,4,6,4
fjad,4,9,9,8,2,3
fhch,2,6,7,6,8,6
fjge,6,5,5,6,7,4
fhcc,8,8,2,7,4,4
fjea,2,2,7,6,6,5
fici,7,2,8,2,7,8
faag,3,9,3,4,6,7
fbha,2,2,9,2,1,6
fdbg,7,4,2,5,6,8
fjgi,3,8,1,7,8,6
fjae,9,3,2,6,7,7
fgji,8,3,8,2,6,8
fach,6,5,2,9,5,5
fdba,2,2,3,2,6,6
fabd,7,3,9,5,7,3
fjff,3,8,5,2,3,9
faee,8,9,3,9,5,7
fbef,6,4,3,3,6,5
fgej,9,9,2,3,7,8
fedf,2,3,8,2,3,9
fihd,5,6,4,8,6,8
ffjc,9,2,1,8,7,1
fagi,8,8,4,5,8,9
fiaf,1,6,1,4,3,3
fafd,7,3,1,3,5,3
fadi,8,1,9,9,9,2
feei,5,6,9,4,2,9
fijd,5,7,7,9,4,5
fifh,5,4,2,2,4,1
fcbb,4,9,3,1,8,8
fbaf,2,1,8,4,5,9
faji,2,2,9,2,4,6
fahi,5,9,6,4,8,6
ffeg,9,8,1,9,7,6
fedc,4,9,2,3,6,8
fhhh,3,1,2,7,8,4
fbgi,6,6,8,4,6,9
fihb,2,7,6,1,2,9
fdji,9,7,6,1,4,5
fddg,4,7,8,7,2,3
fiff,4,9,2,5,8,4
fafh,2,1,8,3,6,8
fahg,7,2,4,3,2,1
fhgi,2,5,8,6,3,7
ffhi,2,9,7,6,3,3
fafb,2,5,6,6,6,4
fieg,9,9,1,3,5,7
fiif,5,2,2,4,7,8
fejh,7,6,9,1,5,4
fdfc,8,9,1,9,1,2
fbjh,8,1,7,1,3,1
fgdd,1,3,2,8,3,9
fgff,9,8,6,5,9,5
fhfh,9,6,9,6,5,7
fiha,7,3,5,7,2,7
fhdh,9,6,1,4,7,4
ffef,1,3,1,3,6,1
fcei,8,2,8,8,2,7
fbci,5,1,1,3,5,6
fega,6,1,9,4,5,5
ffde,8,1,3,4,8,2
fedd,2,8,7,3,6,8
fgja,7,6,2,3,2,6
faig,9,3,1,5,4,8
fgee,8,8,7,6,3,7
fjbi,6,8,9,3,8,8
fgcj,4,6,3,6,6,1
fafg,1,7,6,9,8,8
fcff,8,1,8,6,4,7
fafi,3,4,4,4,1,9
facd,1,9,5,5,4,6
ffbg,7,3,4,8,4,4
