gbjf,7,4,1,3,4,7
ggec,7,7,7,1,6,6
gaea,5,1,4,6,9,5
ggbj,3,4,8,7,3,8
gdab,5,1,8,9,9,6
gijf,7,7,6,2,7,8
gebj,9,8,9,2,7,2
gidh,6,2,4,1,1,3
gfaf,6,3,8,7,7,8
geaj,2,5,2,2,4,7
ggad,4,4,8,4,3,5
gifa,4,7,8,3,7,5
gfbe,8,7,1,5,5,4
ghjf,6,4,2,8,4,1
ggja,7,4,8,1,1,6
gjae,6,2,6,1,5,8
gdcd,5,3,5,6,3,4
gehh,7,4,9,5,3,5
gedi,1,1,1,5,6,6
gcda,7,3,3,7,1,7
gfjf,6,7,3,9,5,3
ghaf,7,3,2,6,3,8
gchc,2,6,5,9,9,9
gded,6,4,4,4,8,6
gedg,9,2,2,2,7,5
gahf,2,4,3,8,1,6
ggaa,3,5,8,4,3,6
gbbg,3,3,7,3,1,4
gbei,2,2,4,8,8,3
gidg,9,9,3,6,9,4
gfec,6,9,6,6,5,7
gjfj,6,4,6,7,1,1
gdgc,2,9,7,5,3,7
gidf,2,7,4,5,6,5
gici,6,9,1,1,6,5
ghga,8,9,8,1,9,8
gcac,6,4,3,3,8,1
gbdd,2,6,9,9,7,5
gaff,5,6,4,3,1,7
gdch,4,1,3,1,4,2
gfff,7,9,8,1,3,3
gcfi,9,5,2,2,3,7
gjcd,4,6,6,5,3,5
gaah,3,4,2,6,9,9
giie,8,1,9,2,2,7
gfdd,1,4,6,3,8,7
giaf,2,1,5,5,9,3
gagj,2,9,1,5,9,5
gadh,8,2,9,7,2,2
gjee,5,3,8,2,1,3
gjfh,8,7,2,1,2,5
gfjg,3,9,2,4,5,2
gica,1,1,6,3,1,2
gfgf,6,2,9,9,8,5
gijj,5,2,9,3,5,8
gejg,9,6,5,2,5,9
gffa,9,6,1,8,8,1
ggdc,1,8,4,9,1,7
gfia,1,2,3,5,8,3
gfgb,7,2,3,8,9,8
gaeg,8,9,4,1,8,5
ggjf,9,6,8,7,2,7
gggi,3,9,3,6,5,1
gdhh,9,9,8,1,7,4
gigg,5,3,6,8,3,8
giig,4,8,6,7,6,9
ghbj,4,4,2,1,9,3
ggab,3,1,7,7,4,7
ggbf,3,9,7,4,8,9
ggjd,8,9,9,5,8,7
gjha,5,1,3,9,1,3
gfhg,6,5,6,6,9,7
ghbh,8,5,2,1,7,9
gcdj,3,4,7,5,9,5
gjei,2,2,6,4,5,7
gccb,3,2,2,5,9,7
gjia,5,6,6,3,2,4
gicd,4,2,8,9,2,1
gdfc,9,4,5,2,7,8
ghej,3,2,1,4,1,7
gjaf,3,5,4,8,3,9
gbbj,1,7,1,3,3,3
gfjj,2,9,4,7,3,7
gebh,1,4,1,3,2,6
ghdb,6,7,4,6,1,6
gabe,4,1,4,4,2,3
gbde,4,7,5,4,4,9
gefe,5,9,2,2,3,7
gbig,6,6,5,6,1,3
gbfa,3,1,2,3,6,6
gcca,9,4,9,9,9,2
gabi,8,4,8,6,1,8
gfdf,9,5,7,8,8,7
gbdj,4,1,7,5,9,1
gejd,5,5,7,8,6,7
gdjj,2,8,8,1,8,6
gjeb,1,1,1,4,1,2
gbjb,4,5,3,4,1,5
gfhd,1,6,6,6,1,5
gcga,7,7,6,7,4,7
gibi,9,4,8,9,5,9
gbeb,6,7,6,2,9,3
ggjj,4,8,6,2,6,1
gega,5,3,7,9,3,9
gidj,7,6,5,4,9,4
gdcj,7,5,4,1,9,4
gcej,5,9,2,3,8,9
ggci,5,2,7,1,5,1
gbee,9,5,6,2,5,7
gjgi,1,2,8,9,1,4
gajj,7,7,5,1,8,3
gjbj,7,6,4,2,2,9
gdhf,8,1,5,5,4,6
gfej,8,7,7,4,8,3
gcab,9,4,7,1,8,8
ghfa,5,7,1,7,1,2
gcib,7,8,5,3,6,6
gdbb,6,1,3,9,4,7
ghfc,1,2,5,8,4,8
gdej,5,6,7,8,3,2
gceh,4,9,9,8,5,1
gdfh,7,1,6,3,6,8
gggb,9,1,6,2,9,1
gehf,5,9,3,4,2,5
ghad,2,1,5,4,4,3
gihe,8,2,3,5,7,4
ghdc,6,8,9,7,4,9
gajc,5,6,6,2,3,2
gdca,2,7,5,6,1,4
gdie,7,9,7,1,5,7
gfab,6,2,6,5,7,9
gijb,3,4,6,1,3,4
gghi,8,3,5,5,6,6
gija,5,7,5,3,8,7
gbai,7,2,9,3,1,4
ggce,6,6,5,9,7,7
geie,2,9,5,4,4,5
gjcg,8,3,7,2,8,8
gibc,2,8,3,1,6,8
ghde,3,7,9,2,1,1
ghbe,2,4,7,8,9,5
gbaa,1,4,9,9,5,4
ggbi,3,1,5,7,9,6
gagi,7,7,4,5,8,5
gfed,7,5,5,4,6,1
gefg,5,8,8,3,4,5
