gbca,4,8,6,2,1,8
gggf,7,6,5,1,8,6
gbgb,5,8,5,6,8,4
geja,5,2,6,9,3,6
gcdb,7,5,1,6,8,1
gjfh,3,5,2,4,3,6
giff,3,7,3,9,3,2
gdeb,9,9,2,1,5,4
gfcf,2,5,3,5,6,6
gjee,3,5,6,5,5,7
gfdc,1,3,6,2,6,8
giij,7,7,9,3,5,7
gagi,6,6,7,1,6,6
gfcb,7,6,6,6,3,7
ghgd,7,2,9,8,4,2
gdjg,4,7,8,6,1,3
gdda,4,3,1,3,4,5
gjeb,7,7,5,1,4,9
gchc,4,8,9,3,9,6
gfbf,9,1,1,8,4,7
gefc,6,4,2,1,7,9
gfec,3,2,5,7,8,9
gaac,1,9,9,4,5,1
ggbf,8,5,1,3,4,9
ghed,9,7,2,9,5,7
ghae,8,5,4,6,5,2
ggif,1,8,2,2,7,8
gaah,4,6,7,5,6,2
gifa,1,3,8,8,6,7
gehi,4,1,5,4,4,1
gdjf,4,8,5,8,4,3
ggbb,3,5,9,2,4,4
giaa,2,8,4,1,5,9
gief,1,7,8,3,9,5
gjji,8,9,6,1,7,4
ggjd,5,9,2,6,7,6
gbee,6,7,6,1,5,5
gdeg,3,6,1,3,1,1
gbah,4,5,1,1,9,1
gfhg,6,3,4,9,4,5
gcjj,1,1,4,5,8,3
gdhf,7,1,1,6,5,1
gbih,8,8,7,7,4,7
gade,6,5,7,2,2,4
gjba,7,6,5,8,6,7
gdhi,8,5,8,7,8,4
gdja,6,2,5,7,1,8
gcee,1,7,4,5,3,6
geeh,2,4,9,8,1,3
gbei,9,1,7,3,1,1
gbjf,1,1,4,9,9,3
ghbf,1,8,1,9,2,1
geij,4,8,9,2,4,6
ggjc,8,3,8,7,4,2
gggd,1,5,5,3,6,9
gffe,2,8,5,6,7,1
ghdc,9,9,1,7,7,5
gffd,8,6,4,4,9,2
gcia,1,2,8,2,8,4
geig,1,9,2,3,1,2
gfjj,4,4,3,4,3,1
gaib,9,6,4,9,6,7
gbhc,1,4,9,3,4,7
gbbc,6,6,9,1,2,3
gehh,5,6,8,2,5,7
gfhi,4,3,5,9,4,7
ggdi,2,4,6,3,1,7
gdch,4,5,1,7,4,3
ggfe,3,3,9,3,6,2
gadb,4,9,5,2,9,9
gbbf,5,5,7,4,8,5
gaeh,8,4,8,6,7,6
ggji,1,5,4,8,1,5
ghhf,3,9,6,8,5,4
gcaj,7,7,1,7,9,5
ggab,1,7,2,9,4,5
gagc,7,4,7,3,6,2
geea,8,3,3,8,1,3
gfei,9,3,2,2,9,9
ghfc,2,6,9,5,9,9
ghbi,1,2,6,7,2,2
gfae,6,6,4,9,2,3
