hfbi,7,2,8,4,7,9
hdid,3,2,2,9,2,1
hcgi,5,1,7,1,5,8
hage,7,6,6,2,8,3
hgdc,1,5,5,5,6,5
hcai,2,3,7,4,4,5
hajg,2,2,4,3,2,3
hgbj,5,2,7,3,3,8
hcfh,6,6,1,2,6,2
hjej,6,6,8,2,7,3
hced,4,3,2,1,1,9
hbai,8,6,5,3,1,9
hgij,8,4,6,4,6,2
hadf,2,7,5,5,2,5
hagf,8,1,7,9,5,8
hhdj,6,2,2,4,3,5
hbgi,1,9,8,7,3,7
hjhb,3,2,8,9,1,3
hfjf,6,9,2,9,3,3
hdcb,7,2,1,2,1,5
hdjj,1,7,2,7,2,2
hbff,5,5,1,7,9,5
hebh,3,2,8,4,1,7
heeb,3,4,9,5,1,8
hcdi,7,5,2,2,3,1
hjce,3,2,5,2,7,2
hifi,7,5,7,8,8,5
hfeg,6,2,5,8,9,3
hbfe,8,5,5,2,5,6
hedi,8,8,9,8,8,2
hfcf,1,9,8,1,9,4
hecb,7,8,5,8,7,3
heei,9,6,8,1,8,5
hgfj,6,5,9,9,2,5
hcii,1,1,3,8,1,9
hhif,8,4,1,3,6,6
hiei,5,7,9,2,2,4
hehi,1,7,6,4,8,8
heaj,4,3,2,1,5,1
hfgj,2,2,1,1,7,2
hfif,7,2,6,2,2,5
haei,7,1,5,2,5,4
haab,4,1,9,2,1,3
hhdc,3,7,5,7,4,9
hacg,8,2,6,7,1,3
hbei,5,1,5,5,4,6
hcja,9,5,3,5,3,2
hieg,3,1,2,7,8,6
hdje,1,2,9,6,1,1
hfda,1,5,2,4,3,4
hbeg,9,1,8,4,4,1
hagb,9,1,2,6,1,4
hfji,9,3,2,3,2,3
hbbi,7,8,4,2,1,3
hiaj,8,1,6,1,9,9
hfeh,2,7,9,2,6,6
hcba,8,8,1,5,3,5
hbge,4,6,6,9,8,7
hfac,3,8,3,6,1,5
hibi,3,7,8,6,1,2
hcje,8,5,1,8,1,6
hibc,4,7,7,4,2,4
haec,2,2,1,7,4,5
hagh,9,3,6,3,5,8
hieh,1,4,1,8,9,6
hbje,9,5,3,4,2,5
hija,9,3,9,7,1,3
hbfb,9,3,9,8,9,7
hhfd,4,5,1,6,6,2
hdbi,7,4,5,2,3,4
hebe,5,7,4,5,5,2
hfec,8,7,1,4,6,7
hehe,8,1,2,5,7,3
hibb,1,8,1,3,7,4
head,7,9,7,9,4,4
hhgd,7,1,3,8,9,7
hiie,9,9,5,4,6,1
hbfc,6,7,4,8,4,1
hejf,2,2,6,5,8,4
hbhc,5,5,1,6,7,1
hjaj,4,9,6,1,2,8
hjfc,2,5,4,4,7,6
hidi,3,3,2,4,7,9
haee,2,4,5,6,6,8
hcge,1,7,4,7,1,3
heai,3,7,5,6,8,8
hhcf,2,9,8,3,5,9
hjac,1,7,2,5,2,9
hfhg,1,4,1,8,7,2
hhaa,1,7,8,6,5,8
hhde,8,2,2,8,4,5
hidd,5,5,1,3,6,9
hhed,6,6,4,3,7,2
hfbg,5,2,4,1,2,3
hade,1,7,3,5,3,2
hahd,7,6,6,8,7,7
hegf,8,7,9,9,2,3
hfce,6,2,1,5,7,2
hhcd,5,5,6,3,5,1
hgeg,3,3,9,8,7,4
hdaf,4,3,9,4,2,4
hhdg,7,3,9,1,4,4
hdhf,6,5,9,3,2,7
hgfg,5,6,8,8,8,3
hece,2,2,9,2,8,5
hgaa,6,7,6,5,5,9
hheb,6,1,7,2,2,2
heci,2,9,7,7,5,4
heae,1,6,3,4,8,6
hdea,8,9,8,1,3,3
hdjd,5,6,7,6,8,2
hdda,7,7,5,9,4,5
hbhe,3,6,6,7,1,2
hcji,6,3,9,7,1,1
hbic,8,7,4,1,1,9
hajb,4,2,7,9,3,7
hgff,3,5,1,7,8,5
hhbh,9,2,8,2,3,7
hdgh,2,4,6,4,9,9
hcae,9,5,9,1,8,5
hcib,5,2,5,3,5,2
hcie,1,9,7,8,5,6
hfjd,6,9,5,2,1,7
hjab,1,6,3,3,7,5
hgfh,8,9,1,8,9,2
hdgc,3,4,7,2,5,5
hbie,2,5,9,1,3,6
hfab,7,5,1,5,7,3
haij,5,3,5,2,5,1
hjde,7,9,9,1,2,3
hjef,4,5,4,4,1,3
hjbd,4,5,9,8,1,2
hjbj,7,1,6,7,6,4
hgba,8,1,4,8,9,2
hhjf,6,2,1,3,4,2
heee,3,9,4,8,1,8
hdhh,5,4,8,3,5,1
hhha,5,5,9,7,5,1
hdbc,8,8,4,5,8,1
hfbd,6,1,5,6,2,9
haac,9,2,9,2,1,6
hahg,5,6,5,9,3,7
hfhh,2,7,8,1,6,3
hied,4,7,9,9,1,3
hjic,7,7,5,5,8,8
hjee,8,2,2,2,1,8
hjfh,5,8,6,4,7,6
hbid,5,2,3,7,8,4
hhhi,6,3,8,4,6,8
hejb,9,2,5,7,7,4
heah,9,8,4,3,3,2
hcbh,3,5,5,2,7,7
heij,8,1,7,2,5,5
hjbb,2,2,9,9,3,8
hdgg,4,1,1,6,2,2
hcab,1,1,6,3,2,3
hbaj,7,7,6,6,1,7
hiag,8,2,5,3,4,9
hegc,9,7,1,7,6,8
heej,3,7,1,2,3,3
hgeb,3,3,4,3,8,7
hadc,4,9,2,8,6,6
hbad,4,8,5,3,2,1
hgci,2,9,1,1,3,6
hgac,8,5,7,4,6,8
higb,5,6,2,9,4,5
hjij,6,4,3,6,4,7
hbce,8,9,1,6,6,5
hehb,3,1,2,6,7,1
hjfi,7,7,2,8,4,6
hihj,4,3,4,8,4,2
hcdd,8,2,3,8,1,4
hhfe,6,9,3,4,6,4
hgbd,2,1,3,4,4,3
hjfb,3,5,3,7,6,8
hcgg,3,6,1,8,4,4
hjhj,5,5,9,1,5,7
hfch,3,3,4,2,7,7
