ieeg,2,8,8,4,1,1
ifbh,2,5,8,8,6,5
ibhd,9,7,1,9,7,2
igib,3,1,7,1,2,1
iihg,2,7,6,2,4,7
igai,4,8,9,8,7,5
igia,1,7,9,3,9,7
iebc,2,5,9,4,7,4
ihha,3,5,9,9,1,2
iejb,8,4,3,1,3,2
ijee,7,3,8,9,4,9
iihi,9,2,3,4,6,4
iaaf,9,6,1,7,9,8
icee,4,8,5,9,4,5
ibgd,5,6,4,2,1,6
ibab,5,1,7,5,3,5
icje,5,1,2,2,7,4
ieie,1,5,8,1,7,3
iaag,2,3,3,4,2,2
ihdb,7,5,3,3,7,2
ihgb,1,2,4,8,1,8
igbe,8,2,6,6,4,7
ihif,7,1,3,7,6,3
idfi,6,6,1,2,7,4
idfd,1,5,6,7,3,3
ihid,5,4,9,5,7,7
iadf,8,6,9,6,1,3
iicb,9,2,6,3,5,3
ifhj,6,4,6,1,1,8
icdf,6,1,9,2,2,9
ibfc,6,5,4,1,6,7
igbi,4,3,5,6,3,5
idih,1,9,4,1,8,9
iffb,9,2,6,3,8,9
ieaj,2,5,3,5,1,7
iegd,4,9,9,2,3,1
ihhh,8,7,8,3,4,3
ifbg,9,3,6,1,4,3
iefa,7,9,7,3,9,2
idhe,6,3,8,7,3,4
ihjh,9,1,4,1,6,3
iffd,2,6,5,4,6,7
ifgg,2,5,1,1,8,1
iace,9,6,6,7,1,4
ijji,4,5,5,3,3,9
ided,5,4,5,1,9,9
iajf,9,5,3,8,1,8
iggf,6,9,2,3,3,5
icai,3,1,4,6,4,6
idcj,3,2,6,6,6,5
iaij,5,3,7,9,4,4
ibee,2,6,1,1,6,2
iegh,9,7,4,8,3,6
ijjj,7,1,7,6,5,6
ibie,6,8,5,5,2,7
ijej,9,4,4,2,9,5
iicj,8,8,3,1,7,4
ibgf,7,8,5,5,9,1
iifa,2,2,1,9,8,1
iadi,6,7,6,3,5,6
ihca,4,9,4,7,9,4
igci,2,7,1,1,7,9
ijjf,4,6,1,1,4,7
iafe,2,3,3,7,6,7
ifij,1,4,8,3,7,6
iefi,3,8,5,1,6,4
iihf,9,5,2,3,1,9
icca,8,6,9,7,7,2
ihgc,5,3,1,2,7,1
ihjd,5,9,6,8,8,7
igif,6,8,5,7,7,8
idbj,7,7,3,5,1,5
ijjg,5,5,5,8,3,9
iajj,2,5,9,6,2,5
iihd,8,9,8,6,3,9
ibfh,1,4,2,8,2,1
igbb,6,9,3,6,7,7
idji,8,8,5,5,2,3
ihaj,6,5,1,6,6,5
iibh,5,3,1,8,9,6
iide,8,2,4,8,8,5
iecc,3,6,3,9,6,8
iegf,5,6,1,3,6,2
ifii,8,6,8,4,9,4
idbf,9,1,4,5,7,1
ijii,3,8,9,2,5,3
igie,6,5,9,1,9,9
icba,3,8,2,8,4,9
ijif,6,9,6,5,1,7
igdh,3,7,4,1,8,9
icfa,5,7,8,7,5,8
ihbc,9,3,5,5,6,9
ijdd,8,5,5,5,7,8
idhg,3,5,9,2,7,7
icgf,6,2,2,7,6,3
iife,5,3,9,4,5,1
iaji,3,8,6,4,3,8
ihgj,5,5,7,9,4,3
ifae,6,6,5,4,2,4
ibhc,2,6,5,6,8,7
ijaf,2,6,5,2,2,1
iaif,9,1,3,1,4,5
igfj,1,9,2,9,8,9
icag,9,8,9,2,4,9
ifja,8,3,6,1,2,3
icjg,5,2,8,8,7,2
ihff,8,2,6,2,6,1
ijbc,8,6,7,1,1,6
icdi,1,4,2,6,1,8
ifhf,3,3,8,7,1,7
ighc,7,2,8,3,4,6
iiea,9,9,1,3,2,3
ieid,2,3,1,5,9,3
idgi,9,7,7,9,6,6
igeb,7,3,4,8,8,6
iidj,6,5,6,1,8,7
ihde,7,7,2,5,7,7
idfj,9,5,5,8,6,6
ieab,2,6,6,4,6,4
iagh,9,6,9,9,8,1
ieaa,9,3,2,8,9,8
iieh,2,2,3,4,5,4
igef,4,7,2,9,4,6
idhb,8,5,1,6,8,7
ibga,5,8,3,5,4,9
iiif,7,3,7,3,4,2
idae,9,7,3,2,7,4
icef,3,3,3,9,1,9
igee,8,2,8,4,8,3
iidc,6,8,3,9,5,6
iafb,1,7,3,1,6,9
icge,9,3,9,3,2,2
igje,8,3,3,7,3,6
ibch,1,6,6,9,3,1
iahe,4,5,4,8,1,6
igea,2,3,2,3,5,9
ijch,4,4,9,5,5,4
ibhe,9,2,8,3,5,8
iafh,4,3,4,5,6,4
iahf,7,1,7,7,4,6
ifib,4,3,2,3,7,6
ihgi,3,4,2,9,6,6
ihib,9,2,9,4,3,7
ijib,2,6,9,9,3,9
icdh,3,7,8,3,4,3
igcb,7,3,4,3,7,3
ifac,5,9,8,7,3,3
igcc,6,1,1,5,2,7
iifj,4,9,3,4,5,9
igid,7,1,9,6,1,4
ifgi,3,8,4,4,4,7
ifgc,9,6,2,4,5,5
iigh,1,6,5,5,2,3
iagc,2,9,6,8,6,6
icib,1,9,2,5,9,7
icdd,6,2,4,3,4,1
icgg,5,8,3,7,2,6
ibjg,1,7,4,7,7,2
iaff,5,8,1,4,1,4
ifif,8,9,2,4,5,1
iibf,4,7,7,1,1,6
idbg,4,6,1,5,4,4
iddi,8,6,8,4,8,5
igdi,4,3,6,3,4,1
ifjb,2,3,4,5,7,7
iecj,2,8,6,6,2,8
ihda,7,5,1,1,7,2
ijdf,7,8,7,5,3,1
ighe,7,9,5,3,6,7
ijgb,9,1,1,2,8,2
igac,6,5,4,4,8,5
ibjd,9,9,6,1,3,7
idhd,9,3,7,6,3,1
ihdi,2,7,5,3,2,5
icei,3,8,2,3,5,2
iaci,1,3,8,4,3,2
idff,7,1,1,7,6,1
idcb,8,3,3,3,9,5
ieeb,7,7,8,7,3,4
idga,7,7,8,5,6,9
